,SNo,Date,RegionCode,RegionName,ProvinceCode,ProvinceName,ProvinceAbbreviation,Latitude,Longitude,TotalPositiveCases
29922,29922,2020-09-29T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1875
29923,29923,2020-09-29T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1041
8323,8323,2020-04-29T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,757
8322,8322,2020-04-29T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1285
30963,30963,2020-10-06T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,676
8321,8321,2020-04-29T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,637
30069,30069,2020-09-30T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,631
30070,30070,2020-09-30T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,818
30071,30071,2020-09-30T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1886
30072,30072,2020-09-30T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1044
8195,8195,2020-04-28T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,751
8194,8194,2020-04-28T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1270
8193,8193,2020-04-28T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,634
8192,8192,2020-04-28T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,244
